,Year,Country Code,Gavi / Income status_Gavi low income countries,Gavi / Income status_Gavi low-middle income countries,Gavi / Income status_non-Gavi middle income countries,PCV3_DOSES,ROTA1_DOSES,ROTAC_DOSES,PCV3_TARGET_NUMBER,ROTA1_TARGET_NUMBER,ROTAC_TARGET_NUMBER,ROTA1_COVERAGE_sqrt_TIMES_land_area,ROTAC_COVERAGE_sqrt_TIMES_land_area,PCV3_COVERAGE_sqrt_TIMES_land_area,ROTA1_COVERAGE_power_2_PER_GDP,ROTAC_COVERAGE_power_2_PER_GDP,PCV3_COVERAGE_power_2_PER_GDP,ROTA1_COVERAGE_TIMES_land_area,ROTAC_COVERAGE_TIMES_land_area,PCV3_COVERAGE_TIMES_land_area,DTPCV3_COVERAGE_sqrt_TIMES_land_area,MCV2_TARGET_NUMBER,DTPCV1_TARGET_NUMBER,POL3_COVERAGE_sqrt_TIMES_land_area,HEPB3_TARGET_NUMBER,DTPCV3_COVERAGE_TIMES_land_area,total_vaccine in USD_prev_5_year_avg_million,MCV1_COVERAGE_power_2_PER_GDP,MCV1_TARGET_NUMBER,BCG_TARGET_NUMBER,BCG_COVERAGE_sqrt_TIMES_land_area,RCV1_COVERAGE_power_2_PER_GDP,DTPCV3_TARGET_NUMBER,land_area,total_immunization in USD_prev_5_year_avg_million,Vaccine USD Mil,Immunization USD Mil
4,2010,AFG,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6083596.439796118,1198817.0,1198817.0,6083596.439796118,1198817.0,56744010.0,17.5110739760697,0.39919772101101786,1198817.0,1376369.0,6083596.439796118,0.0,1198817.0,652230.0,29.876560012546022,26.88700938043365,29.177198032125883
5,2011,AFG,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6153125.513761278,1227588.0,1227588.0,0.0,1227588.0,58048470.0,22.199041678251675,0.3696453074262963,1227588.0,1409401.0,6185190.319052196,0.0,1227588.0,652230.0,29.736687616461996,20.548069549866824,28.217636142598288
6,2012,AFG,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6255970.38890051,1256974.0,1256974.0,6255970.38890051,1256974.0,60005160.0,21.648717635456723,0.3576100135596007,1256974.0,1443139.0,6323604.466805305,0.0,1256974.0,652230.0,25.498040696128868,14.485430424598317,25.354682341555787
7,2013,AFG,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6562289.552943165,1286679.0,1286679.0,6562289.552943165,1286679.0,66025242.900000006,19.857895832742123,0.41149388995225333,1286679.0,1477244.0,6544763.2525020335,0.0,1286679.0,652230.0,25.92491700530279,14.45518025368179,38.01313575154038
8,2014,AFG,1,0,0,915548.0,0.0,0.0,1317560.0,0.0,0.0,0.0,0.0,5417829.282111056,0.0,0.0,0.23167226246812744,0.0,0.0,45003870.0,6672539.232085039,1317560.0,1317560.0,6651466.994701244,1317560.0,68262391.8,18.777352716930057,0.45784589740865594,1317560.0,1512698.0,6560020.266627535,0.0,1317560.0,652230.0,29.385120198817255,48.07542464091573,48.18141016685568
9,2015,AFG,1,0,0,1304327.0,0.0,0.0,1429729.0,0.0,0.0,0.0,0.0,6221877.653401745,0.0,0.0,0.41408817449068763,0.0,0.0,59352930.0,6505973.816697236,0.0,1429729.0,6489606.561040508,1429729.0,64896885.0,24.890222849899263,0.42323901810037196,1429729.0,1549002.0,6493866.015985931,0.0,1429729.0,652230.0,33.78881248693521,31.199157442446374,47.77112292951897
10,2016,AFG,1,0,0,943534.0,0.0,0.0,1220035.0,0.0,0.0,0.0,0.0,5735916.950591771,0.0,0.0,0.3319435215669269,0.0,0.0,50443468.2,5881653.770516248,1220035.0,1220035.0,5881653.770516248,1220035.0,53039343.599999994,25.752652462301807,0.3095856204501652,1220035.0,1321815.0,6071697.315538218,0.0,1220035.0,652230.0,37.50759746641382,35.2168939635783,47.363441960157594
11,2017,AFG,1,0,0,1287809.0,0.0,0.0,1584508.0,0.0,0.0,0.0,0.0,5880207.047146554,0.0,0.0,0.3496144860303967,0.0,0.0,53013254.4,5886714.50237176,1584508.0,1584508.0,6304065.287440955,1584508.0,53130655.8,28.686417345044106,0.3199886196541772,1584508.0,1625297.0,6301365.473489536,0.0,1584508.0,652230.0,41.33675862992568,38.209953717130865,55.2555926682675
12,2018,AFG,1,0,0,1423805.0,1269701.0,1007865.0,1689680.0,1689680.0,1689680.0,5653746.945496058,5037394.860787171,5987030.879873094,0.30653488796734263,0.19317833787037877,0.3854609954174459,49008562.2,38905519.5,54956899.800000004,6077299.805602649,1689680.0,1689680.0,6070996.640754795,1689680.0,56626608.599999994,33.43132200355061,0.36907858675149036,1689680.0,1761919.0,6453782.068418409,0.0,1689680.0,652230.0,47.31694069526802,36.32692100218293,57.6853909989482
22,2008,ALB,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272626.55776721385,41381.0,33294.0,272626.55776721385,34097.0,2712600.0,0.599605105333722,0.7455738245320522,35682.0,33294.0,274000.0,0.7455738245320522,34097.0,27400.0,4.847333904171567,0.7545873599686931,0.9870274429309188
23,2009,ALB,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270969.23810646846,38199.0,33686.0,270969.23810646846,33686.0,2679720.0,0.6512658568787124,0.781205367170891,33686.0,34390.0,269580.3553673746,0.781205367170891,33686.0,27400.0,3.5605650837580174,0.7872209017151566,1.5720965702561691
25,2020,ALB,0,0,1,25929.0,27699.0,27644.0,28075.0,28075.0,28075.0,272158.00851711124,271882.0141164178,263325.26198600844,0.6432647120941123,0.6406593493916534,0.5637354604816612,2703284.0,2697804.0,2530664.0,271882.0141164178,29792.0,28075.0,271716.2829128943,28075.0,2697804.0,2.6207650195662207,0.5474962738799704,28075.0,28345.0,271204.64081575006,0.5474962738799704,28075.0,27400.0,3.127754795234155,2.985468839103369,2.985468839103369
384,2014,DZA,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22675365.64551196,787246.0,987760.0,22675365.64551196,987760.0,215880913.6,23.13701778717322,0.04089667966818319,987760.0,987760.0,23769717.469691556,0.0,987760.0,2381740.0,15.240416871630302,44.80570570595221,44.80570582895441
385,2015,DZA,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22595169.582988307,796602.0,1017367.0,22595169.582988307,1017367.0,214356600.0,32.992114065280525,0.05210891406683534,1017367.0,1017367.0,23817400.0,0.0,1017367.0,2381740.0,44.80570582895441,41.492881901344425,41.492881901344425
